country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB",16-06-2026 12:00,23.55519,74.44001,OZONE,7,83,28
India,Rajasthan,Baran,"Bamboliya, Baran - RSPCB",16-06-2026 12:00,25.106006,76.469948,OZONE,45,143,77
India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",16-06-2026 12:00,27.215415,77.50873,NO2,7,35,18
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",16-06-2026 12:00,23.8175497,91.2726974,CO,18,34,22
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",16-06-2026 12:00,27.23711,78.01936,NH3,2,2,2
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB",16-06-2026 12:00,27.106972,78.000111,NH3,5,5,5
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB",16-06-2026 12:00,27.106972,78.000111,CO,8,20,16
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB",16-06-2026 12:00,27.106972,78.000111,OZONE,9,12,11
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",16-06-2026 12:00,27.169338,78.03582,NH3,1,1,1
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",16-06-2026 12:00,28.964949,77.278761,NH3,1,6,3
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",16-06-2026 12:00,28.964949,77.278761,OZONE,6,98,44
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",16-06-2026 12:00,28.359581,79.414455,PM10,23,54,42
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",16-06-2026 12:00,28.359581,79.414455,SO2,56,105,80
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",16-06-2026 12:00,28.359581,79.414455,CO,35,44,40
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",16-06-2026 12:00,28.38910936,79.42963708,PM2.5,15,30,23
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",16-06-2026 12:00,28.38910936,79.42963708,NO2,4,9,9
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",16-06-2026 12:00,28.38910936,79.42963708,NH3,1,4,1
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB",16-06-2026 12:00,29.61075,74.283608,NO2,5,33,11
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB",16-06-2026 12:00,29.61075,74.283608,NH3,2,21,7
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB",16-06-2026 12:00,29.61075,74.283608,OZONE,10,56,16
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",16-06-2026 12:00,26.902909,75.836858,NO2,13,46,25
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",16-06-2026 12:00,26.902909,75.836858,SO2,14,27,20
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",16-06-2026 12:00,26.902909,75.836858,OZONE,21,62,36
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",16-06-2026 12:00,26.9164092,75.7994901,NO2,51,235,106
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",16-06-2026 12:00,26.9164092,75.7994901,NH3,9,45,17
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",16-06-2026 12:00,26.960669,75.771817,CO,12,52,20
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",16-06-2026 12:00,26.960669,75.771817,OZONE,5,69,33
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",16-06-2026 12:00,26.9502929,75.730943,NH3,10,29,15
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",16-06-2026 12:00,26.9502929,75.730943,SO2,14,38,21
India,Uttar_Pradesh,Fatehpur Sikri,"Dadupura, Fatehpur Sikri - UPPCB",16-06-2026 12:00,27.097694,77.671335,PM2.5,NA,NA,NA
India,Uttar_Pradesh,Fatehpur Sikri,"Dadupura, Fatehpur Sikri - UPPCB",16-06-2026 12:00,27.097694,77.671335,PM10,NA,NA,NA
India,Uttar_Pradesh,Fatehpur Sikri,"Dadupura, Fatehpur Sikri - UPPCB",16-06-2026 12:00,27.097694,77.671335,NH3,NA,NA,NA
India,Uttar_Pradesh,Fatehpur Sikri,"Dadupura, Fatehpur Sikri - UPPCB",16-06-2026 12:00,27.097694,77.671335,CO,NA,NA,NA
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",16-06-2026 12:00,27.168897,78.37696,PM10,43,106,65
India,Uttar_Pradesh,Ghaziabad,"Govindpuram, Ghaziabad - UPPCB",16-06-2026 12:00,28.694528,77.494705,PM2.5,28,122,57
India,Uttar_Pradesh,Ghaziabad,"Govindpuram, Ghaziabad - UPPCB",16-06-2026 12:00,28.694528,77.494705,NH3,3,30,6
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",16-06-2026 12:00,28.646233,77.358075,PM2.5,19,335,111
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",16-06-2026 12:00,28.646233,77.358075,NH3,6,7,6
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",16-06-2026 12:00,28.646233,77.358075,SO2,17,20,19
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",16-06-2026 12:00,28.757294,77.278792,CO,20,100,31
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",16-06-2026 12:00,28.685382,77.453839,PM10,80,258,143
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",16-06-2026 12:00,28.685382,77.453839,NO2,6,74,46
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",16-06-2026 12:00,28.685382,77.453839,NH3,6,61,18
